96.706,2020-01-19 07:41:46
92.404,2020-02-24 12:45:49
97.632,2019-12-28 09:50:02
85.496,2020-03-12 00:40:12
90.717,2020-02-06 04:25:21
99.893,2020-02-05 11:50:04
87.611,2020-08-25 14:14:41
89.378,2019-12-31 20:43:45
96.096,2019-10-24 11:49:56
99.819,2020-05-03 20:51:53
82.342,2020-08-20 18:15:17
96.726,2020-07-29 23:21:12
83.347,2020-04-30 01:33:27
93.631,2020-09-29 02:27:32
84.371,2020-02-15 11:24:29
85.085,2020-04-30 06:28:34
89.495,2020-09-01 11:22:32
88.947,2020-04-27 05:01:44
86.556,2020-02-14 06:06:45
97.18,2020-02-14 04:23:38
95.561,2020-01-08 08:14:27
86.453,2019-11-11 08:55:09
99.974,2019-10-19 15:04:23
91.657,2019-10-12 16:46:40
94.109,2020-03-14 04:29:00
84.178,2020-05-06 16:19:51
89.834,2020-03-16 14:28:06
85.891,2019-12-25 19:32:51
88.063,2020-05-05 08:24:22
88.8,2020-07-15 11:28:25
90.312,2020-01-06 23:03:57
90.081,2020-03-24 17:29:42
97.508,2020-06-11 15:06:04
94.821,2020-09-25 04:00:32
81.84,2020-08-09 04:31:34
96.92,2019-12-29 07:55:16
89.565,2019-10-20 20:10:06
96.422,2020-02-02 08:38:26
95.743,2020-09-17 11:03:38
84.936,2019-12-27 04:09:02
84.037,2020-01-07 10:47:27
92.779,2020-03-08 22:02:04
98.859,2020-09-17 17:06:13
84.36,2020-02-23 09:15:22
97.358,2020-07-04 13:10:56
97.017,2019-11-12 20:42:04
82.473,2020-01-02 20:24:24
86.813,2020-04-06 19:41:05
99.143,2020-03-26 20:47:07
82.334,2019-11-22 20:45:51
89.243,2020-04-10 09:37:54
94.262,2020-04-20 23:34:50
83.093,2019-12-17 17:18:11
91.622,2020-02-13 07:21:29
85.41,2020-05-07 06:12:47
94.003,2019-11-04 08:27:09
83.893,2020-02-14 14:14:09
93.619,2020-04-20 07:18:45
85.424,2019-11-08 04:14:40
89.47,2020-01-11 19:05:54
95.084,2020-09-26 14:03:53
87.543,2020-03-24 11:24:17
81.257,2020-09-14 03:55:37
93.493,2019-10-10 19:50:41
99.896,2019-12-11 19:01:56
89.58,2020-02-17 05:25:31
93.949,2019-11-13 08:33:57
98.924,2020-08-25 22:01:41
88.699,2020-06-02 09:36:32
83.427,2020-03-02 07:16:02
92.11,2020-09-01 08:32:10
82.466,2019-12-02 23:27:04
82.562,2020-04-21 18:46:25
98.774,2020-05-25 09:55:21
88.052,2019-11-29 15:01:39
94.871,2020-01-19 03:40:21
95.768,2019-12-15 12:26:58
98.251,2020-03-03 13:25:03
92.389,2020-06-17 21:25:23
95.281,2019-10-23 15:53:46
81.795,2020-04-26 13:59:30
91.686,2019-11-01 06:13:30
81.262,2019-10-23 17:18:48
87.867,2020-04-23 20:44:33
85.815,2019-11-01 11:38:27
86.215,2019-11-16 09:01:42
88.599,2019-10-10 19:45:13
86.983,2020-05-26 11:32:02
91.714,2020-04-21 06:44:28
84.927,2020-07-13 09:05:30
89.64,2020-04-23 07:29:13
93.828,2020-02-13 02:03:30
95.621,2020-09-21 07:30:13
89.219,2019-11-08 03:24:44
89.831,2019-10-11 07:30:33
90.162,2020-04-10 17:20:39
85.408,2020-01-09 01:07:52
91.666,2020-03-02 06:01:48
83.942,2019-11-13 02:37:26
98.388,2020-09-25 19:38:17
87.788,2020-05-19 09:15:13
93.525,2020-06-09 22:25:09
85.114,2020-02-11 08:14:35
93.064,2019-11-09 19:02:56
94.75,2020-09-04 15:37:24
86.123,2019-12-04 05:14:50
94.245,2020-01-19 05:14:11
92.359,2020-01-11 23:53:56
98.596,2020-01-29 04:27:14
83.254,2020-08-04 17:50:59
97.824,2020-05-13 08:20:40
94.659,2019-11-06 00:55:38
94.79,2020-08-31 11:01:13
95.525,2020-02-16 23:44:11
92.639,2020-01-12 03:09:02
92.246,2019-10-22 23:28:11
95.373,2019-12-03 05:00:11
93.064,2020-08-28 13:47:56
86.684,2019-12-02 05:57:09
99.208,2019-11-01 10:11:06
93.987,2020-01-08 20:06:30
84.192,2020-01-16 00:23:34
84.941,2020-07-15 18:20:29
93.593,2019-12-05 04:34:13
82.535,2020-01-13 14:42:42
94.838,2019-11-25 00:08:24
90.811,2020-06-15 19:49:43
96.031,2020-02-25 20:19:47
82.562,2019-10-11 12:49:44
87.97,2020-05-21 05:44:35
98.016,2020-05-17 14:32:31
95.599,2020-04-04 02:59:02
87.78,2020-10-03 17:49:40
91.987,2020-09-19 06:52:35
91.97,2019-10-27 00:52:18
